,variable,Eigenvalues,cumulative
0,1,0.27975164785647594,0.27975164785647594
1,2,0.2065220556238504,0.48627370348032634
2,3,0.08434917229014631,0.5706228757704727
3,4,0.07313905116026258,0.6437619269307352
4,5,0.061652321865247585,0.7054142487959828
5,6,0.05764006777434226,0.7630543165703251
6,7,0.04928708845035144,0.8123414050206765
7,8,0.04251356427611822,0.8548549692967947
8,9,0.03837797195897845,0.8932329412557731
9,10,0.03060942004540083,0.9238423613011739
10,11,0.023585945072763438,0.9474283063739374
11,12,0.015984344957936974,0.9634126513318744
12,13,0.013581430411000264,0.9769940817428746
13,14,0.012765529154038478,0.9897596108969131
14,15,0.007490540079986949,0.9972501509769001
15,16,0.002749849023099765,0.9999999999999998
16,17,5.3156023751384137e-33,0.9999999999999998
