,variable,Eigenvalues,cumulative
0,1,0.26660670474521925,0.26660670474521925
1,2,0.18994955954744544,0.4565562642926647
2,3,0.10459947149054605,0.5611557357832108
3,4,0.07858757829911171,0.6397433140823224
4,5,0.06688269164470269,0.7066260057270252
5,6,0.05703020145502668,0.7636562071820518
6,7,0.048590545590928666,0.8122467527729805
7,8,0.0463622611381172,0.8586090139110978
8,9,0.037111189818993855,0.8957202037300916
9,10,0.030474669679571693,0.9261948734096633
10,11,0.02139696399669768,0.947591837406361
11,12,0.015471410997154074,0.9630632484035151
12,13,0.01331682562809102,0.9763800740316061
13,14,0.011491743077306724,0.9878718171089128
14,15,0.00942180087728273,0.9972936179861955
15,16,0.002705871256017392,0.9999994892422129
16,17,5.10757786884136e-07,0.9999999999999998
