,variable,Eigenvalues,cumulative
0,1,0.2955626193107189,0.2955626193107189
1,2,0.19240147333079385,0.48796409264151275
2,3,0.0893788709363215,0.5773429635778342
3,4,0.07556000948695793,0.6529029730647922
4,5,0.06085767424996102,0.7137606473147532
5,6,0.054974389544134264,0.7687350368588874
6,7,0.050708576117015826,0.8194436129759033
7,8,0.039972580790737865,0.8594161937666411
8,9,0.03653196336666612,0.8959481571333072
9,10,0.02948068574151428,0.9254288428748215
10,11,0.022999002819454325,0.9484278456942759
11,12,0.01579029547999232,0.9642181411742682
12,13,0.013716150274669795,0.977934291448938
13,14,0.00976532097809596,0.9876996124270339
14,15,0.00907163642507327,0.9967712488521071
15,16,0.003228726030673409,0.9999999748827805
16,17,2.51172193293621e-08,0.9999999999999998
