,variable,Sum of Squared Loadings
0,TENURE,0.799426863185857
1,BALANCE_FREQUENCY,0.5064075589188746
2,MINIMUM_PAYMENTS,0.4660263739480654
3,PURCHASES_INSTALLMENTS_FREQUENCY,0.4074711006149243
4,ONEOFF_PURCHASES,0.375150580640778
5,ONEOFF_PURCHASES_FREQUENCY,0.36276779372722684
6,PRC_FULL_PAYMENT,0.335809901575383
7,CASH_ADVANCE_TRX,0.3117750683229228
8,PAYMENTS,0.2964521994426793
9,PURCHASES_FREQUENCY,0.2924760008582441
10,BALANCE,0.289673703202173
11,CASH_ADVANCE,0.28498816835331237
12,INSTALLMENTS_PURCHASES,0.28428989654292885
13,CASH_ADVANCE_FREQUENCY,0.283433588295833
14,CREDIT_LIMIT,0.258992736297099
15,PURCHASES,0.25786623250958896
16,PURCHASES_TRX,0.1869922335641086
