,variable,Sum of Squared Loadings
0,MINIMUM_PAYMENTS,0.8958115235295943
1,TENURE,0.8006076872383683
2,BALANCE_FREQUENCY,0.4939339581748096
3,PURCHASES_INSTALLMENTS_FREQUENCY,0.43196389376347455
4,ONEOFF_PURCHASES_FREQUENCY,0.3782686315916783
5,PURCHASES_FREQUENCY,0.31019216547712686
6,CASH_ADVANCE_TRX,0.29715376639459046
7,CASH_ADVANCE_FREQUENCY,0.29586937553332915
8,ONEOFF_PURCHASES,0.2945388919871277
9,PAYMENTS,0.2763464326449039
10,CASH_ADVANCE,0.2553533770383776
11,BALANCE,0.24244033525250533
12,PRC_FULL_PAYMENT,0.2299645435423257
13,PURCHASES,0.2282697935303446
14,INSTALLMENTS_PURCHASES,0.22454188762398797
15,PURCHASES_TRX,0.17464713532587942
16,CREDIT_LIMIT,0.17009660135157523
