,variable,Sum of Squared Loadings
0,TENURE,0.7830133370705172
1,BALANCE_FREQUENCY,0.5120418364239332
2,MINIMUM_PAYMENTS,0.4798839777269253
3,PURCHASES_INSTALLMENTS_FREQUENCY,0.4637283894500565
4,ONEOFF_PURCHASES_FREQUENCY,0.3997848386802807
5,PURCHASES_FREQUENCY,0.34303817350728655
6,ONEOFF_PURCHASES,0.3300290590828001
7,CASH_ADVANCE,0.32717162183626164
8,PRC_FULL_PAYMENT,0.297748065416527
9,CASH_ADVANCE_FREQUENCY,0.2894416639785581
10,BALANCE,0.2840179392732468
11,INSTALLMENTS_PURCHASES,0.27397121350380166
12,PURCHASES,0.27396460955524826
13,CREDIT_LIMIT,0.26533272118904583
14,CASH_ADVANCE_TRX,0.2607898876193223
15,PAYMENTS,0.24619970804374983
16,PURCHASES_TRX,0.16984295764244556
